,bedrooms,beds,accommodates,host_listings_count,host_total_listings_count,bathrooms,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,latitude,longitude
0,1.0,1.0,3.0,3.0,3.0,1.5,3.0,15.0,3.0,3.0,15,15,30,60,90,354,15.9,8.0,0.0,8.0,4.92,4.94,4.91,4.96,4.99,4.64,4.92,0.82,48.0,2352.0,35.33012,25.08012
1,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1125.0,1.0,1.0,1125,1125,0,0,0,81,45.0,1.0,0.0,1.0,4.02,4.14,4.49,4.33,4.43,4.5,4.18,0.26,6.0,432.0,34.99533,24.75654
2,1.0,2.0,2.0,4.0,4.0,1.7,4.0,30.0,4.0,4.0,30,30,23,48,76,232,15.9,21.0,0.0,21.0,4.59,4.71,4.67,4.87,4.84,4.94,4.66,0.4,168.0,0.0,35.51439,24.01793
3,1.0,2.0,6.0,1.0,1.0,1.0,3.0,730.0,3.0,3.0,730,730,30,60,90,365,2.0,0.0,0.0,0.0,5.0,4.5,5.0,5.0,4.5,4.0,4.5,0.01,0.0,0.0,35.49648,23.69648
4,1.0,1.0,2.0,15.0,15.0,1.0,5.0,28.0,5.0,7.0,28,1125,0,0,7,103,15.9,10.0,0.0,10.0,4.81,4.87,4.8,4.92,4.94,4.68,4.88,0.98,100.0,7000.0,35.39616,25.02541
5,1.0,2.0,6.0,4.0,4.0,1.0,3.0,95.0,3.0,3.0,95,95,29,59,89,175,0.0,0.0,0.0,0.0,4.9,4.9,5.0,5.0,5.0,4.8,4.9,0.3,0.0,0.0,35.51255,23.97767
6,1.0,2.0,4.0,4.0,5.0,1.7,7.0,28.0,7.0,7.0,28,28,0,0,0,0,1.0,0.0,0.0,0.0,5.0,4.0,5.0,4.9,4.9,5.0,5.0,0.02,0.0,0.0,35.3204,25.38925
7,2.0,4.0,5.0,5.0,5.0,1.0,2.0,1125.0,2.0,2.0,1125,1125,20,49,72,203,7.0,1.0,0.0,1.0,4.43,4.43,4.57,4.71,4.57,4.57,4.43,0.06,6.0,678.0,35.00596,25.58564
8,1.0,1.0,2.0,5.0,5.0,1.0,2.0,1125.0,2.0,2.0,1125,1125,21,46,76,216,6.0,0.0,0.0,0.0,4.5,4.67,5.0,4.83,4.83,4.33,4.83,0.05,0.0,0.0,35.00566,25.58529
9,2.0,4.0,4.0,1.0,1.0,1.0,6.0,90.0,6.0,6.0,90,90,30,60,83,358,35.0,4.0,0.0,4.0,4.91,4.89,4.94,4.94,4.97,4.77,4.86,0.23,48.0,2880.0,35.35203,24.46259
10,2.0,3.0,5.0,3.0,5.0,1.0,3.0,1125.0,1.0,3.0,1125,1125,0,19,20,227,118.0,13.0,0.0,13.0,4.92,4.96,4.95,4.93,4.99,4.97,4.92,0.77,78.0,6942.0,35.36602,24.48477
